Year,Category,Dollar Sales UD
2008,Additional Treatments,"$268,000,000.00 "
2019,Additional Treatments,"$431,000,000.00 "
2024,Additional Treatments,"$124,000,000.00 "
2017,Additional Treatments,"$194,000,000.00 "
2008,Additional Treatments,"$164,000,000.00 "
2005,Additional Treatments,"$30,013,605.00 "
2021,Additional Treatments,"$146,000,000.00 "
2007,Additional Treatments,"$266,000,000.00 "
2003,Additional Treatments,"$569,000,000.00 "
2023,Additional Treatments,"$199,000,000.00 "
2022,Additional Treatments,"$315,000,000.00 "
2001,Additional Treatments,"$16,911,700.00 "
2022,Additional Treatments,"$505,000,000.00 "
2002,Additional Treatments,"$687,000,000.00 "
2007,Additional Treatments,"$635,000,000.00 "
2003,Additional Treatments,"$106,000,000.00 "
2019,Additional Treatments,"$276,000,000.00 "
2013,Additional Treatments,"$186,000,000.00 "
2004,Additional Treatments,"$139,000,000.00 "
2011,Additional Treatments,"$495,000,000.00 "
2011,Additional Treatments,"$655,000,000.00 "
2021,Additional Treatments,"$109,000,000.00 "
2019,Additional Treatments,"$17,241,172.00 "
2016,Additional Treatments,"$311,000,000.00 "
2017,Additional Treatments,"$185,000,000.00 "
2014,Additional Treatments,"$131,000,000.00 "
2022,Additional Treatments,"$63,670,022.00 "
2018,Additional Treatments,"$89,842,775.00 "
2023,Additional Treatments,"$1,090,000,000.00 "
2024,Additional Treatments,"$135,000,000.00 "
2006,Additional Treatments,"$181,000,000.00 "
2009,Additional Treatments,"$462,000,000.00 "
2001,Additional Treatments,"$59,473,091.00 "
2005,Additional Treatments,"$191,000,000.00 "
2013,Additional Treatments,"$217,000,000.00 "
2018,Additional Treatments,"$910,000,000.00 "
2018,Additional Treatments,"$141,000,000.00 "
2013,Additional Treatments,"$576,000,000.00 "
2021,Additional Treatments,"$214,000,000.00 "
2012,Additional Treatments,"$177,000,000.00 "
2002,Additional Treatments,"$101,000,000.00 "
2021,Additional Treatments,"$182,000,000.00 "
2020,Additional Treatments,"$328,000,000.00 "
2007,Additional Treatments,"$227,000,000.00 "
2003,Additional Treatments,"$140,000,000.00 "
2000,Additional Treatments,"$463,000,000.00 "
2007,Additional Treatments,"$437,000,000.00 "
2006,Additional Treatments,"$11,660,083.00 "
2005,Additional Treatments,"$560,000,000.00 "
2009,Additional Treatments,"$490,000,000.00 "
2014,Additional Treatments,"$10,091,325.00 "
2010,Additional Treatments,"$501,000,000.00 "
2024,Additional Treatments,"$131,000,000.00 "
2004,Additional Treatments,"$270,000,000.00 "
2010,Additional Treatments,"$506,000,000.00 "
2017,Additional Treatments,"$54,837,279.00 "
2020,Additional Treatments,"$762,000,000.00 "
2004,Additional Treatments,"$184,000,000.00 "
2018,Additional Treatments,"$626,000,000.00 "
2002,Additional Treatments,"$230,000,000.00 "
2011,Additional Treatments,"$19,097,851.00 "
2008,Additional Treatments,"$312,000,000.00 "
2001,Additional Treatments,"$14,310,257.00 "
2010,Additional Treatments,"$290,000,000.00 "
2024,Additional Treatments,"$151,000,000.00 "
2004,Additional Treatments,"$349,000,000.00 "
2000,Additional Treatments,"$677,000,000.00 "
2017,Additional Treatments,"$309,000,000.00 "
2011,Additional Treatments,"$71,339,764.00 "
2007,Additional Treatments,"$126,000,000.00 "
2005,Additional Treatments,"$201,000,000.00 "
2006,Additional Treatments,"$620,000,000.00 "
2009,Additional Treatments,"$191,000,000.00 "
2012,Additional Treatments,"$586,000,000.00 "
2004,Additional Treatments,"$38,969,565.00 "
2008,Additional Treatments,"$259,000,000.00 "
2017,Additional Treatments,"$566,000,000.00 "
2018,Additional Treatments,"$282,000,000.00 "
2017,Additional Treatments,"$523,000,000.00 "
2003,Additional Treatments,"$462,000,000.00 "
2007,Additional Treatments,"$369,000,000.00 "
2001,Additional Treatments,"$155,000,000.00 "
2020,Additional Treatments,"$202,000,000.00 "
2021,Additional Treatments,"$391,000,000.00 "
2008,Additional Treatments,"$600,000,000.00 "
2000,Additional Treatments,"$276,000,000.00 "
2002,Additional Treatments,"$114,000,000.00 "
2011,Additional Treatments,"$402,000,000.00 "
2011,Additional Treatments,"$176,000,000.00 "
2005,Additional Treatments,"$112,000,000.00 "
2015,Additional Treatments,"$242,000,000.00 "
2011,Additional Treatments,"$386,000,000.00 "
2023,Additional Treatments,"$12,488,084.00 "
2003,Additional Treatments,"$213,000,000.00 "
2017,Additional Treatments,"$41,645,646.00 "
2016,Additional Treatments,"$585,000,000.00 "
2011,Additional Treatments,"$618,000,000.00 "
2013,Additional Treatments,"$268,000,000.00 "
2015,Additional Treatments,"$92,999,233.00 "
2024,Additional Treatments,"$20,237,061.00 "
2009,Additional Treatments,"$321,000,000.00 "
2010,Additional Treatments,"$297,000,000.00 "
2016,Additional Treatments,"$699,000,000.00 "
2000,Additional Treatments,"$437,000,000.00 "
2002,Additional Treatments,"$82,124,882.00 "
2022,Additional Treatments,"$639,000,000.00 "
2005,Additional Treatments,"$342,000,000.00 "
2011,Additional Treatments,"$183,000,000.00 "
2008,Additional Treatments,"$124,000,000.00 "
2017,Additional Treatments,"$373,000,000.00 "
2001,Additional Treatments,"$872,000,000.00 "
2007,Additional Treatments,"$51,237,761.00 "
2007,Additional Treatments,"$224,000,000.00 "
2007,Additional Treatments,"$741,000,000.00 "
2020,Additional Treatments,"$157,000,000.00 "
2003,Additional Treatments,"$172,000,000.00 "
2000,Additional Treatments,"$863,000,000.00 "
2017,Additional Treatments,"$431,000,000.00 "
2008,Additional Treatments,"$943,000,000.00 "
2007,Additional Treatments,"$713,000,000.00 "
2015,Additional Treatments,"$258,000,000.00 "
2024,Additional Treatments,"$180,000,000.00 "
2004,Additional Treatments,"$196,000,000.00 "
2016,Additional Treatments,"$566,000,000.00 "
2012,Additional Treatments,"$375,000,000.00 "
2015,Additional Treatments,"$57,570,257.00 "
2023,Additional Treatments,"$595,000,000.00 "
2010,Additional Treatments,"$87,018,827.00 "
2020,Additional Treatments,"$334,000,000.00 "
2001,Additional Treatments,"$342,000,000.00 "
2022,Additional Treatments,"$636,000,000.00 "
2000,Additional Treatments,"$511,000,000.00 "
2017,Additional Treatments,"$567,000,000.00 "
2023,Additional Treatments,"$365,000,000.00 "
2008,Additional Treatments,"$54,424,955.00 "
2005,Additional Treatments,"$336,000,000.00 "
2019,Additional Treatments,"$287,000,000.00 "
2001,Additional Treatments,"$109,000,000.00 "
2010,Additional Treatments,"$189,000,000.00 "
2001,Additional Treatments,"$763,000,000.00 "
2019,Additional Treatments,"$158,000,000.00 "
2003,Additional Treatments,"$745,000,000.00 "
2009,Additional Treatments,"$70,059,234.00 "
2000,Additional Treatments,"$399,000,000.00 "
2008,Additional Treatments,"$538,000,000.00 "
2003,Additional Treatments,"$739,000,000.00 "
2001,Additional Treatments,"$599,000,000.00 "
2000,Additional Treatments,"$205,000,000.00 "
2019,Additional Treatments,"$80,760,094.00 "
2020,Additional Treatments,"$235,000,000.00 "
2002,Additional Treatments,"$285,000,000.00 "
2020,Additional Treatments,"$109,000,000.00 "
2017,Additional Treatments,"$220,000,000.00 "
2008,Additional Treatments,"$349,000,000.00 "
2018,Additional Treatments,"$677,000,000.00 "
2007,Additional Treatments,"$124,000,000.00 "
2023,Additional Treatments,"$32,518,868.00 "
2007,Additional Treatments,"$842,000,000.00 "
2014,Additional Treatments,"$277,000,000.00 "
2000,Additional Treatments,"$28,164,009.00 "
2013,Additional Treatments,"$494,000,000.00 "
2021,Additional Treatments,"$532,000,000.00 "
2002,Additional Treatments,"$983,000,000.00 "
2023,Additional Treatments,"$695,000,000.00 "
2013,Additional Treatments,"$620,000,000.00 "
2012,Additional Treatments,"$124,000,000.00 "
2020,Additional Treatments,"$274,000,000.00 "
2019,Additional Treatments,"$91,224,256.00 "
2004,Additional Treatments,"$220,000,000.00 "
2010,Additional Treatments,"$177,000,000.00 "
2018,Additional Treatments,"$186,000,000.00 "
2004,Additional Treatments,"$130,000,000.00 "
2000,Additional Treatments,"$206,000,000.00 "
2004,Additional Treatments,"$265,000,000.00 "
2024,Additional Treatments,"$610,000,000.00 "
2002,Additional Treatments,"$494,000,000.00 "
2011,Additional Treatments,"$108,000,000.00 "
2016,Additional Treatments,"$96,647,790.00 "
2024,Additional Treatments,"$71,637,175.00 "
2009,Additional Treatments,"$213,000,000.00 "
2000,Additional Treatments,"$373,000,000.00 "
2000,Additional Treatments,"$382,000,000.00 "
2018,Additional Treatments,"$164,000,000.00 "
2022,Additional Treatments,"$348,000,000.00 "
2024,Additional Treatments,"$97,746,793.00 "
2021,Additional Treatments,"$35,098,329.00 "
2012,Additional Treatments,"$17,235,325.00 "
2010,Additional Treatments,"$172,000,000.00 "
2007,Additional Treatments,"$89,528,622.00 "
2015,Additional Treatments,"$250,000,000.00 "
2009,Additional Treatments,"$920,000,000.00 "
2009,Additional Treatments,"$566,000,000.00 "
2011,Additional Treatments,"$161,000,000.00 "
2022,Additional Treatments,"$242,000,000.00 "
2013,Additional Treatments,"$538,000,000.00 "
2017,Additional Treatments,"$345,000,000.00 "
2023,Additional Treatments,"$319,000,000.00 "
2000,Additional Treatments,"$159,000,000.00 "
2012,Additional Treatments,"$236,000,000.00 "
2011,Additional Treatments,"$849,000,000.00 "
2015,Additional Treatments,"$170,000,000.00 "
2022,Additional Treatments,"$158,000,000.00 "
2024,Additional Treatments,"$170,000,000.00 "
2007,Additional Treatments,"$482,000,000.00 "
2023,Additional Treatments,"$79,621,012.00 "
2001,Additional Treatments,"$437,000,000.00 "
2013,Additional Treatments,"$495,000,000.00 "
2014,Additional Treatments,"$83,567,696.00 "
2006,Additional Treatments,"$200,000,000.00 "
2015,Additional Treatments,"$376,000,000.00 "
2019,Additional Treatments,"$510,000,000.00 "
2020,Additional Treatments,"$34,432,451.00 "
2021,Additional Treatments,"$684,000,000.00 "
2024,Additional Treatments,"$428,000,000.00 "
2010,Additional Treatments,"$789,000,000.00 "
2023,Additional Treatments,"$471,000,000.00 "
2020,Additional Treatments,"$222,000,000.00 "
2002,Additional Treatments,"$2,868,200.00 "
2002,Additional Treatments,"$54,412,100.00 "
2007,Additional Treatments,"$384,000,000.00 "
2019,Additional Treatments,"$107,000,000.00 "
2020,Additional Treatments,"$94,884,635.00 "
2010,Additional Treatments,"$615,000,000.00 "
2002,Additional Treatments,"$182,000,000.00 "
2013,Additional Treatments,"$838,000,000.00 "
2006,Additional Treatments,"$9,339,188.00 "
2017,Additional Treatments,"$242,000,000.00 "
2006,Additional Treatments,"$397,000,000.00 "
2012,Additional Treatments,"$419,000,000.00 "
2023,Additional Treatments,"$9,926,226.00 "
2022,Additional Treatments,"$355,000,000.00 "
2022,Additional Treatments,"$16,459,892.00 "
2018,Additional Treatments,"$104,000,000.00 "
2015,Additional Treatments,"$350,000,000.00 "
2018,Additional Treatments,"$157,000,000.00 "
2000,Additional Treatments,"$322,000,000.00 "
2021,Additional Treatments,"$390,000,000.00 "
2003,Additional Treatments,"$115,000,000.00 "
2002,Additional Treatments,"$671,000,000.00 "
2011,Additional Treatments,"$340,000,000.00 "
2012,Additional Treatments,"$26,841,468.00 "
2017,Additional Treatments,"$815,000,000.00 "
2011,Additional Treatments,"$537,000,000.00 "
2006,Additional Treatments,"$35,500,984.00 "
2016,Additional Treatments,"$573,000,000.00 "
2001,Additional Treatments,"$337,000,000.00 "
2015,Additional Treatments,"$231,000,000.00 "
2016,Additional Treatments,"$7,341,292.00 "
2024,Additional Treatments,"$12,458,080.00 "
2007,Additional Treatments,"$187,000,000.00 "
2009,Additional Treatments,"$560,000,000.00 "
2010,Additional Treatments,"$26,072,134.00 "
2017,Additional Treatments,"$834,000,000.00 "
2013,Additional Treatments,"$54,705,731.00 "
2000,Additional Treatments,"$195,000,000.00 "
2016,Additional Treatments,"$69,041,663.00 "
2000,Additional Treatments,"$217,000,000.00 "
2021,Additional Treatments,"$110,000,000.00 "
2014,Additional Treatments,"$919,000,000.00 "
2023,Additional Treatments,"$851,000,000.00 "
2019,Additional Treatments,"$665,000,000.00 "
2015,Additional Treatments,"$639,000,000.00 "
2022,Additional Treatments,"$60,475,449.00 "
2012,Additional Treatments,"$673,000,000.00 "
2014,Additional Treatments,"$425,000,000.00 "
2011,Additional Treatments,"$112,000,000.00 "
2002,Additional Treatments,"$53,708,671.00 "
2021,Additional Treatments,"$673,000,000.00 "
2003,Additional Treatments,"$628,000,000.00 "
2016,Additional Treatments,"$91,840,758.00 "
2012,Additional Treatments,"$4,963,382.00 "
2016,Additional Treatments,"$727,000,000.00 "
2020,Additional Treatments,"$517,000,000.00 "
2021,Additional Treatments,"$382,000,000.00 "
2024,Additional Treatments,"$958,000,000.00 "
2020,Additional Treatments,"$264,000,000.00 "
2022,Additional Treatments,"$26,075,544.00 "
2015,Additional Treatments,"$480,000,000.00 "
2013,Additional Treatments,"$709,000,000.00 "
2015,Additional Treatments,"$467,000,000.00 "
2011,Additional Treatments,"$562,000,000.00 "
2023,Additional Treatments,"$550,000,000.00 "
2004,Additional Treatments,"$113,000,000.00 "
2010,Additional Treatments,"$322,000,000.00 "
2020,Additional Treatments,"$33,749,573.00 "
2008,Additional Treatments,"$607,000,000.00 "
2019,Additional Treatments,"$296,000,000.00 "
2017,Additional Treatments,"$246,000,000.00 "
2006,Additional Treatments,"$91,596,207.00 "
2007,Additional Treatments,"$56,825,482.00 "
2008,Additional Treatments,"$177,000,000.00 "
2012,Additional Treatments,"$324,000,000.00 "
2004,Additional Treatments,"$401,000,000.00 "
2012,Additional Treatments,"$756,000,000.00 "
2016,Additional Treatments,"$103,000,000.00 "
2010,Additional Treatments,"$124,000,000.00 "
2007,Additional Treatments,"$767,000,000.00 "
2013,Additional Treatments,"$467,000,000.00 "
2016,Additional Treatments,"$457,000,000.00 "
2017,Additional Treatments,"$103,000,000.00 "
2009,Additional Treatments,"$35,402,731.00 "
2000,Additional Treatments,"$140,000,000.00 "
2015,Additional Treatments,"$439,000,000.00 "
2006,Additional Treatments,"$87,450,250.00 "
2017,Additional Treatments,"$631,000,000.00 "
2009,Additional Treatments,"$226,000,000.00 "
2008,Additional Treatments,"$81,804,498.00 "
2012,Additional Treatments,"$290,000,000.00 "
2009,Additional Treatments,"$28,594,495.00 "
2020,Additional Treatments,"$84,519,276.00 "
2011,Additional Treatments,"$461,000,000.00 "
2015,Additional Treatments,"$177,000,000.00 "
2012,Additional Treatments,"$125,000,000.00 "
2013,Additional Treatments,"$68,212,772.00 "
2016,Additional Treatments,"$510,000,000.00 "
2008,Additional Treatments,"$1,110,000,000.00 "
2016,Additional Treatments,"$268,000,000.00 "
2019,Additional Treatments,"$7,503,707.00 "
2003,Additional Treatments,"$510,000,000.00 "
2008,Additional Treatments,"$755,000,000.00 "
2000,Additional Treatments,"$345,000,000.00 "
2000,Additional Treatments,"$186,000,000.00 "
2016,Additional Treatments,"$438,000,000.00 "
2022,Additional Treatments,"$545,000,000.00 "
2019,Additional Treatments,"$58,751,816.00 "
2010,Additional Treatments,"$125,000,000.00 "
2024,Additional Treatments,"$82,318,728.00 "
2022,Additional Treatments,"$416,000,000.00 "
2012,Additional Treatments,"$785,000,000.00 "
2021,Additional Treatments,"$115,000,000.00 "
2001,Additional Treatments,"$61,606,086.00 "
2008,Additional Treatments,"$228,000,000.00 "
2000,Additional Treatments,"$261,000,000.00 "
