Category,Year,Units sold,Avg Price USD,Dollar Sales UD
Beauty Care,2024,34.71,176668068.7,12.02
Beauty Care,2012,56.11,236807429.5,-9.46
Beauty Care,2002,16.91,26107653.38,0.65
Beauty Care,2005,5.26,17446152.34,-15.97
Beauty Care,2020,59.91,345155049.7,46.76
Beauty Care,2002,23.62,131273842.4,-18.23
Beauty Care,2007,31.04,129094832.3,17.78
Beauty Care,2004,49.52,77612596.96,-0.62
Beauty Care,2012,34.73,50823777.81,-44.48
Beauty Care,2019,22.19,107036616,-26.99
Beauty Care,2015,14.19,68036381.49,10.18
Beauty Care,2002,51.7,68144167.3,18.4
Beauty Care,2019,35.09,200707922.4,-3.76
Beauty Care,2021,3.64,11249594.72,-30.67
Beauty Care,2007,16.79,51357302.37,12.1
Beauty Care,2024,29.19,6676745.46,-2.56
Beauty Care,2004,41.74,72378161.76,-12.1
Beauty Care,2007,52.21,76420351.31,28.69
Beauty Care,2010,36.74,171887906.3,24.82
Beauty Care,2018,14.58,78062632.2,-27.2
Beauty Care,2023,42.94,249251885.7,47.29
Beauty Care,2017,29.76,13281649.92,-43.7
Beauty Care,2024,9.36,44785915.2,25.27
Beauty Care,2025,19.4,60243014,14.37
Beauty Care,2004,44.34,38068772.1,-34.35
Beauty Care,2000,29.74,13672965,-40.9
Beauty Care,2006,30.34,70356912.66,-27.39
Beauty Care,2007,5.19,29997203.52,-29.07
Beauty Care,2025,44.11,164512656,29.48
Beauty Care,2014,17.13,65218552.23,-48.84
Beauty Care,2019,43.2,245157408,19.55
Beauty Care,2005,40.28,100248259.8,0.41
Beauty Care,2008,55.52,266526702.6,14.35
Beauty Care,2006,36.58,170339488.8,15.03
Beauty Care,2015,24.06,37822801.2,47.01
Beauty Care,2007,38.37,88588732.74,-5.31
Beauty Care,2007,9.74,49103197.04,38.64
Beauty Care,2014,28.15,28813298.45,-24.65
Beauty Care,2004,35.15,59041103.5,46.09
Beauty Care,2016,33.06,35224041.48,-1.09
Beauty Care,2003,7.58,27007835.62,13.53
Beauty Care,2005,12.82,30199702.22,23.08
Beauty Care,2023,17.26,41653299.1,46.67
Beauty Care,2016,15.03,21736416.06,-12.7
Beauty Care,2023,38.31,137740770.1,30.45
Beauty Care,2007,20.09,52188174.71,-40.98
Beauty Care,2025,19.26,2127324.78,-36.88
Beauty Care,2004,14.42,9792463.38,49.18
Beauty Care,2022,47.28,253286997.6,-27.16
Beauty Care,2024,3.35,9197344.6,-40.92
Beauty Care,2004,21.7,68302117.1,-4.42
Beauty Care,2004,59.06,188714181.8,18.21
Beauty Care,2002,50.16,115708837.2,28.91
Beauty Care,2001,35.47,127508088.1,-16.44
Beauty Care,2007,34.33,101474776.8,1.18
Beauty Care,2008,11.4,41448006,-39.67
Beauty Care,2016,59.82,101916829.5,23.98
Beauty Care,2013,12.5,34161750,49.9
Beauty Care,2014,42.97,182011251.8,30.17
Beauty Care,2018,33.79,153371965.3,16.04
Beauty Care,2005,15.34,29023862.92,-44.99
Beauty Care,2024,29.68,118338819.8,43.02
Beauty Care,2022,17.63,56114192.03,34.53
Beauty Care,2007,33.88,7355178.6,-33.39
Beauty Care,2009,24.77,57222489.81,-24.67
Beauty Care,2019,14.56,14991208.96,-44.18
Beauty Care,2002,44.72,214586952.3,-4.61
Beauty Care,2016,15.78,76248675.96,14.93
Beauty Care,2017,21.51,38961944.91,-48.49
Beauty Care,2003,10.48,1877617.76,14.43
Beauty Care,2024,30.78,125696932.4,-22.67
Beauty Care,2014,56.1,247774682.1,41.15
Beauty Care,2014,51.13,106892275.7,49.53
Beauty Care,2021,49.32,164305190.5,48.62
Beauty Care,2018,25.25,148757723.8,39.75
Beauty Care,2024,38.02,194804366.7,-26.72
Beauty Care,2004,59.62,145410377.9,37.38
Beauty Care,2011,48.38,110177273.8,-27.56
Beauty Care,2018,43.8,1910818.8,-23.65
Beauty Care,2023,52.81,201101219.3,43.46
Beauty Care,2017,11.34,56717781.12,26.6
Beauty Care,2004,26.1,146715564.6,-15.28
Beauty Care,2001,17.72,19326300.28,-39.74
Beauty Care,2024,9.66,5155783.5,-1.07
Beauty Care,2023,13.39,14361163.31,-34.68
Beauty Care,2015,32.32,186688238.4,39.21
Beauty Care,2018,38.85,217465827.6,22.48
Beauty Care,2009,33.18,19855774.68,4.99
Beauty Care,2013,40.15,64103168.8,3.52
Beauty Care,2012,35.96,23099481.36,44.33
Beauty Care,2002,56.78,229933278.7,26.05
Beauty Care,2021,15.55,49676745.3,13.55
Beauty Care,2005,34.33,77484045.88,10.63
Beauty Care,2008,43.75,188594525,13.64
Beauty Care,2007,43.47,34006233.24,-20.3
Beauty Care,2017,36.62,54061813.04,6.29
Beauty Care,2021,35.58,197846254.7,-45.23
Beauty Care,2015,17.29,57325807.63,15.3
Beauty Care,2015,7.07,3674978.93,47.64
Beauty Care,2023,43.75,206882593.8,-31.16
Beauty Care,2012,37.55,16132982,12.91
Beauty Care,2006,28.22,108794872.8,9.52
Beauty Care,2016,33.31,193982617.1,26.5
Beauty Care,2001,27.38,61471084.42,45.19
Beauty Care,2007,18.85,12839055.45,36.34
Beauty Care,2020,43.8,191866557,31.24
Beauty Care,2020,15.32,74189980.16,7
Beauty Care,2021,57.76,28220380.8,-19.46
Beauty Care,2015,49.91,281693337.7,-0.9
Beauty Care,2020,47.22,129580179.6,-15.78
Beauty Care,2008,20.46,105996528.7,9.37
Beauty Care,2023,5.87,33536032.01,46.8
Beauty Care,2024,56.73,69980936.67,-45.62
Beauty Care,2017,6.29,29377457.58,-43.64
Beauty Care,2000,5.25,11944878.75,-38.42
Beauty Care,2009,56.7,10789329.6,6.46
Beauty Care,2012,33.53,110177266.4,-35.08
Beauty Care,2020,57.47,96134724.07,12.91
Beauty Care,2012,16.95,39548553.6,-48.4
Beauty Care,2004,55.2,253457148,28.18
Beauty Care,2013,10.98,3163414.86,42.27
Beauty Care,2001,39.74,169450644.7,5.08
Beauty Care,2013,51.95,104212687.1,16.14
Beauty Care,2018,6.96,9939854.4,-6.61
Beauty Care,2016,59.39,58199765.01,-24.61
Beauty Care,2016,25.89,140371178.7,9.17
Beauty Care,2009,7.13,7088838.51,-36.92
Beauty Care,2013,32.41,136910276,32.6
Beauty Care,2011,7.67,31796322.48,-8.89
Beauty Care,2016,58.33,142843403.7,-15.93
Beauty Care,2020,56.35,247728574.8,36.5
Beauty Care,2013,44.15,62457812.95,-33
Beauty Care,2001,10.99,3681825.84,28.05
Beauty Care,2006,20.08,726394,-43.11
Beauty Care,2015,29.5,57080169.5,-31.67
Beauty Care,2010,22.59,57078604.8,-35.13
Beauty Care,2013,59.06,174485860,6.84
Beauty Care,2025,47.04,215135887.7,28.3
Beauty Care,2008,10.62,48819354.12,1.88
Beauty Care,2018,31.79,124956031.1,-6.58
Beauty Care,2017,44.84,266402645.7,17.22
Beauty Care,2009,4.4,17695493.2,-47.04
Beauty Care,2011,9.24,28188486.48,18.87
Beauty Care,2016,39.57,178131517.2,-12.96
Beauty Care,2024,5.87,27597593.68,33.91
Beauty Care,2022,33.82,28005868.52,43.65
Beauty Care,2015,10.68,27548793,30.74
Beauty Care,2013,47.44,118027873.6,-13.61
Beauty Care,2013,24.51,132610105,-40.85
Beauty Care,2002,25.08,120492646.6,-46.57
Beauty Care,2019,32.21,32264950.26,-23.48
Beauty Care,2011,3.87,11886674.04,-42.6
Beauty Care,2003,30.57,146930027.8,-2.55
Beauty Care,2023,19.76,63067478.24,47.99
Beauty Care,2019,13.35,63133912.2,37.63
Beauty Care,2012,4.69,8614305.91,5.65
Beauty Care,2021,59.3,46300965.6,-11.12
Beauty Care,2003,6.64,11256327.2,-32.31
