Category,Year,Avg Price USD,Dollar Sales UD,YOY % Change
Concealer,2016,30.93,444715171.8,8.65
Concealer,2022,8.13,953600195.9,5.29
Concealer,2010,10.03,368844307.7,14.42
Concealer,2013,37.45,168918519.2,-3.86
Concealer,2012,37.87,204859270.2,10.12
Concealer,2013,24.06,974394764.3,2.88
Concealer,2004,25.33,323291474,11.66
Concealer,2024,28.31,580778803.2,5.72
Concealer,2012,30.15,627468718.2,-5.92
Concealer,2023,31.51,575204504.6,-4.82
Concealer,2012,9.88,56582908.84,8.99
Concealer,2024,7.08,829270126.4,5.75
Concealer,2021,39.9,181460255.4,1.31
Concealer,2009,24.54,589419666.1,-0.02
Concealer,2018,23.36,769482605.9,9.49
Concealer,2019,16.7,563637786.8,5.68
Concealer,2022,30.55,931844042.5,6.85
Concealer,2000,15.11,415666869.5,1.57
Concealer,2012,12.92,977098908.9,6.65
Concealer,2011,23.11,228710304,-8.12
Concealer,2004,25.13,495625400.2,-8.24
Concealer,2020,16.27,796083602.7,10.49
Concealer,2012,34.57,916477455.9,10.52
Concealer,2013,38.43,328389666.4,4.17
Concealer,2013,31.88,776375918,-7.17
Concealer,2020,30.27,168175267.3,5.73
Concealer,2000,25.21,671662835.7,-1.17
Concealer,2017,30.33,234034237.2,-0.6
Concealer,2004,20.89,757946694.9,11.55
Concealer,2001,21.82,676333931.5,5.27
Concealer,2016,31.97,528300618.9,-6.03
Concealer,2000,19.69,762374069.9,4.44
Concealer,2010,23.46,731062625.8,6.39
Concealer,2020,22.24,591026356.5,8.83
Concealer,2008,7.81,515125802.9,10.66
Concealer,2015,15.25,728713669.4,10.66
Concealer,2010,18.01,248855558.9,-9.31
Concealer,2013,14.89,579455591.9,-0.48
Concealer,2024,34.6,38990796.51,14.43
Concealer,2017,23.36,364903848.8,14.68
Concealer,2009,8.07,58416575.24,3.6
Concealer,2017,30.62,176662151.2,3.6
Concealer,2016,8.31,998455213.7,-1.58
Concealer,2003,15.48,348898155.1,10.97
Concealer,2023,16.09,785731001.3,9.56
Concealer,2014,10.49,898481421.8,14.66
Concealer,2014,34.35,148640564.3,-6.52
Concealer,2007,14.31,630559597.8,4.46
Concealer,2016,24.89,500300091.8,-7.7
Concealer,2010,9.42,376203653.2,13.11
Concealer,2024,31.4,22648069.65,0.69
Concealer,2022,11,624414602.5,-4.01
Concealer,2010,39.38,505985562.4,7.48
Concealer,2003,31.73,300473113,14.73
Concealer,2024,26.12,737809082,-7.75
Concealer,2013,9.44,118258863.6,-2.81
Concealer,2021,9.07,888191984.1,2.13
Concealer,2003,36.07,280221280.7,-8.33
Concealer,2021,31.28,783492942.4,12.45
Concealer,2018,31.89,515142017.2,0.3
Concealer,2024,6.89,464519166.5,-7.48
Concealer,2002,23.39,837917176.9,9.94
Concealer,2018,18.46,345803127,3.87
Concealer,2007,33.06,977110625.7,12.58
Concealer,2014,14.72,198417131.8,-8.7
Concealer,2019,33.89,908077006.5,-1.93
Concealer,2001,32.59,127565113,9.73
Concealer,2009,36.28,253763072.2,1.77
Concealer,2007,6.14,663029275.5,-5.54
Concealer,2012,27.1,122658950.1,7.18
Concealer,2023,8.5,242389056.7,6.28
Concealer,2003,6.74,726675143.6,-0.35
Concealer,2022,8.66,633137278.9,12.97
Concealer,2000,14.75,483035055.4,-9.19
Concealer,2010,7.35,262849461.9,11.85
Concealer,2012,5.92,612137536.1,4.13
Concealer,2018,30.77,796118478.2,3.14
Concealer,2023,22.86,621032846.6,12.53
Concealer,2017,15.79,553184238,5.89
Concealer,2002,23.53,712771554.3,1.25
Concealer,2005,29.56,598613989.1,-8.77
Concealer,2009,14.17,856046443.1,-2.01
Concealer,2002,6.46,934529180.2,-0.38
Concealer,2019,32.21,746171626.9,0.71
Concealer,2007,23.74,828298084.3,-4.6
Concealer,2008,34.76,330892545.3,14.23
Concealer,2005,18.35,110505470.5,6.42
Concealer,2024,16.24,964126931.3,-5.17
Concealer,2011,23.64,11276559.6,9.12
