Category,Year,Avg Price USD,Units Sold,Dollar Sales UD,YOY % Change
Additional Treatments,2008,30.66,8756980,"$268,000,000.00",-1.61
Additional Treatments,2019,73.53,5861737,"$431,000,000.00",5.02
Additional Treatments,2024,47.55,2614871,"$124,000,000.00",7.68
Additional Treatments,2017,80.94,2397909,"$194,000,000.00",-1.88
Additional Treatments,2008,32.73,5025474,"$164,000,000.00",-4.56
Additional Treatments,2005,98.62,304332,"$30,013,605.00",-4.34
Additional Treatments,2021,33.27,4387135,"$146,000,000.00",15.2
Additional Treatments,2007,42.41,6277213,"$266,000,000.00",8.66
Additional Treatments,2003,68.83,8263675,"$569,000,000.00",6.28
Additional Treatments,2023,57.99,3434523,"$199,000,000.00",4.62
Additional Treatments,2022,47.96,6558665,"$315,000,000.00",3.35
Additional Treatments,2001,83.06,203600,"$16,911,700.00",-0.39
Additional Treatments,2022,111.51,4525794,"$505,000,000.00",14.26
Additional Treatments,2002,115.96,5921677,"$687,000,000.00",1.82
Additional Treatments,2007,66.22,9586349,"$635,000,000.00",6.72
Additional Treatments,2003,36.74,2877335,"$106,000,000.00",-1.47
Additional Treatments,2019,102.27,2698023,"$276,000,000.00",1.34
Additional Treatments,2013,19.23,9660081,"$186,000,000.00",15.59
Additional Treatments,2004,24.57,5639967,"$139,000,000.00",4.98
Additional Treatments,2011,58.83,8415679,"$495,000,000.00",-6.06
Additional Treatments,2011,94.56,6924265,"$655,000,000.00",-4.96
Additional Treatments,2021,55.53,1959346,"$109,000,000.00",10.58
Additional Treatments,2019,29.94,575803,"$17,241,172.00",9.39
Additional Treatments,2016,34.98,8892992,"$311,000,000.00",6.2
Additional Treatments,2017,96.84,1911716,"$185,000,000.00",11.67
Additional Treatments,2014,21.48,6117208,"$131,000,000.00",11.48
Additional Treatments,2022,73,872139,"$63,670,022.00",2.59
Additional Treatments,2018,11.72,7667954,"$89,842,775.00",-0.19
Additional Treatments,2023,118.83,9201669,"$1,090,000,000.00",12.94
Additional Treatments,2024,46.17,2921345,"$135,000,000.00",0.4
Additional Treatments,2006,30.26,5988583,"$181,000,000.00",1.1
Additional Treatments,2009,82.14,5629162,"$462,000,000.00",4.72
Additional Treatments,2001,22.72,2617631,"$59,473,091.00",3.2
Additional Treatments,2005,96.86,1967223,"$191,000,000.00",-1.5
Additional Treatments,2013,38.8,5593022,"$217,000,000.00",8.25
Additional Treatments,2018,117.98,7714772,"$910,000,000.00",10.69
Additional Treatments,2018,17.86,7906063,"$141,000,000.00",-3.85
Additional Treatments,2013,108.62,5301399,"$576,000,000.00",3.58
Additional Treatments,2021,39.21,5449116,"$214,000,000.00",14.6
Additional Treatments,2012,33.43,5299661,"$177,000,000.00",2.98
Additional Treatments,2002,10.81,9333096,"$101,000,000.00",-3.6
Additional Treatments,2021,26.54,6844959,"$182,000,000.00",16.1
Additional Treatments,2020,80.75,4063529,"$328,000,000.00",-6.16
Additional Treatments,2007,49.01,4629776,"$227,000,000.00",11.57
Additional Treatments,2003,92.54,1511206,"$140,000,000.00",19.96
Additional Treatments,2000,73.04,6339065,"$463,000,000.00",12.06
Additional Treatments,2007,86.96,5028823,"$437,000,000.00",-1.09
Additional Treatments,2006,16.55,704526,"$11,660,083.00",2.96
Additional Treatments,2005,86.87,6446832,"$560,000,000.00",2.54
Additional Treatments,2009,73.5,6665407,"$490,000,000.00",13.43
Additional Treatments,2014,50.52,199754,"$10,091,325.00",12.97
Additional Treatments,2010,99.95,5007607,"$501,000,000.00",0.64
Additional Treatments,2024,18.76,6977597,"$131,000,000.00",-2.32
Additional Treatments,2004,67.87,3982790,"$270,000,000.00",17.15
Additional Treatments,2010,62.69,8073553,"$506,000,000.00",19.93
Additional Treatments,2017,23.46,2337187,"$54,837,279.00",-6.05
Additional Treatments,2020,90.41,8430140,"$762,000,000.00",4.35
Additional Treatments,2004,59.56,3096561,"$184,000,000.00",6.28
Additional Treatments,2018,85.73,7303681,"$626,000,000.00",14.56
Additional Treatments,2002,49.17,4675748,"$230,000,000.00",-7.44
Additional Treatments,2011,99.33,192262,"$19,097,851.00",-6.16
Additional Treatments,2008,53.5,5826157,"$312,000,000.00",-5.95
Additional Treatments,2001,34.56,414037,"$14,310,257.00",19.19
Additional Treatments,2010,64.9,4474356,"$290,000,000.00",-5.91
Additional Treatments,2024,112.31,1344660,"$151,000,000.00",-3.23
