Category,Year,Units sold,Avg Price USD,Dollar Sales UD,YOY % Change
Hair,2011,724360,4.59,3324812.4,-17.59
Hair,2004,2798950,16.01,44811189.5,44.71
Hair,2001,652382,10.75,7013106.5,-28
Hair,2025,1569157,28,43936396,-37.07
Hair,2002,1275498,25.67,32742033.66,-9.3
Hair,2021,3830590,25.86,99059057.4,0.32
Hair,2014,1951634,22.99,44868065.66,41.99
Hair,2021,1931688,22.31,43095959.28,22.87
Hair,2018,2020708,10.46,21136605.68,-8.75
Hair,2012,774701,22.12,17136386.12,-43.1
Hair,2010,3763691,24.35,91645875.85,-16.78
Hair,2013,902416,26.24,23679395.84,49.26
Hair,2008,1544316,19.49,30098718.84,12.45
Hair,2006,5605634,28.11,157574371.7,35.28
Hair,2010,2908083,14.07,40916727.81,-42.61
Hair,2001,4487774,30.81,138268316.9,-47.43
Hair,2013,4313116,17.41,75091349.56,-47.43
Hair,2012,5101121,32.83,167469802.4,-5.46
Hair,2018,1885046,33.13,62451573.98,-10.42
Hair,2025,829870,30.53,25335931.1,22.43
Hair,2020,3892391,19.34,75278841.94,-46.65
Hair,2025,2591077,8.06,20884080.62,10.49
Hair,2006,5897109,17.68,104260887.1,-0.71
Hair,2022,4879526,26.53,129453824.8,27.68
Hair,2014,1307907,28.91,37811591.37,-37.79
Hair,2021,3820276,32.13,122745467.9,-31.95
Hair,2019,5930965,17.45,103495339.3,-2.43
Hair,2014,1205797,16.58,19992114.26,-38.09
Hair,2022,845823,17.99,15216355.77,-37.47
Hair,2020,3681490,9.32,34311486.8,9.35
Hair,2019,5423858,31.36,170092186.9,17.4
Hair,2022,3292118,30.16,99290278.88,5.53
Hair,2023,4909021,5.92,29061404.32,-18.37
Hair,2023,3005770,32.55,97837813.5,-41.94
Hair,2019,3450562,16.26,56106138.12,31.13
Hair,2005,5875131,5.22,30668183.82,44.62
Hair,2003,3058567,4.69,14344679.23,27.32
Hair,2015,5017941,8.57,43003754.37,-19.37
Hair,2016,4120909,12.63,52047080.67,19.96
Hair,2009,2997715,12.51,37501414.65,32.19
Hair,2006,2597450,6.71,17428889.5,-39.16
Hair,2019,3287406,19.51,64137291.06,23.04
Hair,2024,2553686,10.28,26251892.08,15.49
Hair,2008,3390702,31.85,107993858.7,31.99
Hair,2025,4209025,12.53,52739083.25,15.9
Hair,2021,5078540,4.73,24021494.2,-38.33
Hair,2008,4517265,24.58,111034373.7,-18.79
Hair,2014,1720467,14.18,24396222.06,46.36
Hair,2002,3352774,34.5,115670703,-38.64
Hair,2007,629059,19.5,12266650.5,31.63
Hair,2024,2304928,11.41,26299228.48,45.38
Hair,2021,4439373,20.55,91229115.15,41.6
Hair,2012,1678045,22.99,38578254.55,14.62
Hair,2025,4154316,34.07,141537546.1,46.03
Hair,2000,1768653,21.37,37796114.61,-31.2
Hair,2013,3115951,13.62,42439252.62,-19.44
Hair,2000,3422276,28.97,99143335.72,43.68
Hair,2007,2766137,20.53,56788792.61,-21.98
Hair,2018,4116622,17.15,70600067.3,-11.08
Hair,2015,4229043,9.11,38526581.73,25.04
Hair,2006,3532404,27.21,96116712.84,22.51
Hair,2008,4048568,24.03,97287089.04,-11.63
Hair,2011,174753,8.94,1562291.82,45.75
Hair,2024,4348470,15.86,68966734.2,15.11
Hair,2008,4262245,23.19,98841461.55,22.56
Hair,2019,1737645,22.26,38679977.7,-35.65
Hair,2001,840005,27.64,23217738.2,39.77
Hair,2022,58318,6.32,368569.76,-11.22
Hair,2021,5358409,17.08,91521625.72,-41.27
Hair,2004,2343828,24.35,57072211.8,0.95
Hair,2002,2460511,30.4,74799534.4,14.29
Hair,2006,2493612,25.36,63238000.32,12.12
Hair,2017,2702752,11.45,30946510.4,-6.93
Hair,2018,4096817,29.94,122658701,44.14
Hair,2005,4990288,31.5,157194072,13.56
Hair,2005,579083,33.23,19242928.09,-17.06
Hair,2025,3138652,32.14,100876275.3,2.66
Hair,2006,5752923,9.46,54422651.58,-0.13
Hair,2003,1070155,11.57,12381693.35,-12.17
Hair,2018,4378695,14.43,63184568.85,7.26
Hair,2002,1833479,12.53,22973491.87,17.96
Hair,2003,4648832,4.9,22779276.8,28.08
Hair,2022,5820156,24.12,140382162.7,-29.7
Hair,2016,1891003,8.96,16943386.88,4.13
Hair,2017,2913238,7.59,22111476.42,-18.71
Hair,2002,3928144,6.77,26593534.88,16.11
Hair,2006,1961148,27.85,54617971.8,-40.93
Hair,2015,1687306,28.61,48273824.66,14.42
Hair,2023,5087619,25.01,127241351.2,-44.1
Hair,2011,4108100,6.29,25839949,-38.82
Hair,2004,2016024,23.99,48364415.76,37.05
Hair,2024,1264777,27.51,34794015.27,10.12
Hair,2002,5183367,25.54,132383193.2,10.14
Hair,2008,2906601,26.86,78071302.86,-22.19
Hair,2025,467060,4.29,2003687.4,-30.33
Hair,2008,651972,33.29,21704147.88,11.57
Hair,2014,3099716,24.2,75013127.2,-33.1
Hair,2004,3868896,19.63,75946428.48,1.27
Hair,2020,3407488,10.58,36051223.04,-42.2
Hair,2008,1713989,28.54,48917246.06,27.06
Hair,2019,5760396,29.44,169586058.2,-32.5
Hair,2022,3087327,22.78,70329309.06,-34.66
Hair,2024,1605796,30.13,48382633.48,47.82
Hair,2018,2475678,24.63,60975949.14,42.19
Hair,2008,5150369,26.1,134424630.9,-8.57
Hair,2020,1194485,13.02,15552194.7,31.39
Hair,2004,3247314,5.27,17113344.78,-16.59
Hair,2024,4294031,5.99,25721245.69,-20.99
Hair,2011,5063236,22,111391192,29.99
Hair,2004,5188759,22.95,119082019.1,1.62
Hair,2014,4943206,18.03,89126004.18,-37.64
Hair,2015,5502859,29.4,161784054.6,-8.82
Hair,2006,1060864,14.23,15096094.72,-31.68
Hair,2025,5557123,14.5,80578283.5,-45.84
Hair,2014,4680886,14.19,66421772.34,-48.73
Hair,2004,2931938,23.4,68607349.2,12.41
Hair,2023,5915229,20.67,122267783.4,31.95
Hair,2005,3037132,22.56,68517697.92,22.4
Hair,2002,5277484,11.93,62960384.12,-25.88
Hair,2022,3676704,12.2,44855788.8,39.38
Hair,2012,1539537,22.21,34193116.77,-15.41
Hair,2014,2801846,31.54,88370222.84,-28.45
Hair,2005,1604039,27.82,44624364.98,48.02
Hair,2015,3956172,22.38,88539129.36,12.63
Hair,2020,811603,17.57,14259864.71,-47.22
Hair,2022,2067805,5.83,12055303.15,19.64
Hair,2010,4873018,31.38,152915304.8,-35.12
Hair,2021,2527413,23.98,60607363.74,22
Hair,2006,1005257,18.35,18446465.95,21.82
Hair,2019,3920221,29.33,114980081.9,-28.42
Hair,2010,3104954,19.04,59118324.16,42.11
Hair,2022,613467,21.98,13484004.66,-18.05
Hair,2023,1029656,22.98,23661494.88,-49.5
Hair,2011,350605,15.28,5357244.4,-46.79
Hair,2007,4904392,27.98,137224888.2,0.38
Hair,2014,3421053,25.41,86928956.73,-46.36
Hair,2020,3536438,16.02,56653736.76,-13
Hair,2020,2953207,15.81,46690202.67,-24.12
Hair,2015,5014889,30.11,150998307.8,-22.49
Hair,2002,3481649,31.18,108557815.8,2.34
Hair,2008,2906196,20.51,59606079.96,-47.79
Hair,2002,2592111,25.63,66435804.93,-28.02
Hair,2014,109128,13.88,1514696.64,3.25
Hair,2002,2479499,31.43,77930653.57,28.88
Hair,2018,664959,11.94,7939610.46,-11.56
Hair,2002,4901083,25.46,124781573.2,31.9
Hair,2005,2960949,23.52,69641520.48,2.44
Hair,2005,2062440,24.58,50694775.2,40.28
Hair,2021,3560490,23.72,84454822.8,23.3
Hair,2007,4142606,6.29,26056991.74,34.16
Hair,2024,5279741,17.77,93820997.57,1.97
Hair,2018,4210034,18.91,79611742.94,24.34
Hair,2014,1464010,21.15,30963811.5,19.55
Hair,2016,4292833,31.02,133163679.7,29.14
Hair,2004,3096244,29.97,92794432.68,-4.75
Hair,2002,2985868,13.36,39891196.48,-28.7
Hair,2008,3147134,15.5,48780577,-0.6
Hair,2022,162793,24.09,3921683.37,-42.64
Hair,2011,1355302,7.6,10300295.2,21.81
Hair,2021,2955456,16.96,50124533.76,21.28
Hair,2014,2232515,12.57,28062713.55,-35.76
Hair,2012,2857742,22.06,63041788.52,41.22
Hair,2017,4267987,20.34,86810855.58,23.38
Hair,2021,2498779,12.53,31309700.87,44.38
Hair,2020,2389942,30.72,73419018.24,-12.7
Hair,2023,4145726,27.46,113841636,-20.49
