Category,Year,Units sold,Avg Price USD,Dollar Sales UD,YOY % Change
All Purpose Cleaners,2006,6195151,24.07,149117284.6,20.78
All Purpose Cleaners,2019,7096358,20.52,145617266.2,0.78
All Purpose Cleaners,2012,2278240,10.23,23306395.2,6.21
All Purpose Cleaners,2001,1214843,23.14,28111467.02,-0.29
All Purpose Cleaners,2006,5268237,8.22,43304908.14,46.11
All Purpose Cleaners,2016,2103217,5.04,10600213.68,26.82
All Purpose Cleaners,2010,6337201,24.83,157352700.8,28.06
All Purpose Cleaners,2011,313069,20.06,6280164.14,43.44
All Purpose Cleaners,2009,3641993,10.61,38641545.73,-39.35
All Purpose Cleaners,2005,3238436,12.61,40836677.96,44.02
All Purpose Cleaners,2000,3794350,21.89,83058321.5,-16.76
All Purpose Cleaners,2024,4092633,12.82,52467555.06,16.7
All Purpose Cleaners,2000,1382430,15.71,21717975.3,33.71
All Purpose Cleaners,2010,3349741,6.97,23347694.77,4.22
All Purpose Cleaners,2017,7303321,24.73,180611128.3,-41.01
All Purpose Cleaners,2018,3874133,20.97,81240569.01,-18.57
All Purpose Cleaners,2008,5067629,19.4,98312002.6,42.07
All Purpose Cleaners,2008,7155354,8.4,60104973.6,-24.26
All Purpose Cleaners,2013,2184359,22.4,48929641.6,2.88
All Purpose Cleaners,2007,1698251,24.72,41980764.72,10.53
All Purpose Cleaners,2011,5220345,9.68,50532939.6,-39.56
All Purpose Cleaners,2006,1995320,11.59,23125758.8,28.51
All Purpose Cleaners,2006,4044338,20.15,81493410.7,18.26
All Purpose Cleaners,2020,1438772,1.75,2517851,-21.38
All Purpose Cleaners,2011,6408974,18.17,116451057.6,38.47
All Purpose Cleaners,2011,7544095,8.62,65030098.9,49.34
All Purpose Cleaners,2001,1750700,3.35,5864845,19.67
All Purpose Cleaners,2018,3312170,16.25,53822762.5,-16.95
All Purpose Cleaners,2009,6691052,7.75,51855653,-36.39
All Purpose Cleaners,2014,7380671,4.81,35501027.51,-18.65
All Purpose Cleaners,2005,882272,4.37,3855528.64,-11.21
All Purpose Cleaners,2024,6272991,10.25,64298157.75,18.48
