Category,Year,Dollar Sales UD
Concealer,2016,444715171.8
Concealer,2022,953600195.9
Concealer,2010,368844307.7
Concealer,2013,168918519.2
Concealer,2012,204859270.2
Concealer,2013,974394764.3
Concealer,2004,323291474
Concealer,2024,580778803.2
Concealer,2012,627468718.2
Concealer,2023,575204504.6
Concealer,2012,56582908.84
Concealer,2024,829270126.4
Concealer,2021,181460255.4
Concealer,2009,589419666.1
Concealer,2018,769482605.9
Concealer,2019,563637786.8
Concealer,2022,931844042.5
Concealer,2000,415666869.5
Concealer,2012,977098908.9
Concealer,2011,228710304
Concealer,2004,495625400.2
Concealer,2020,796083602.7
Concealer,2012,916477455.9
Concealer,2013,328389666.4
Concealer,2013,776375918
Concealer,2020,168175267.3
Concealer,2000,671662835.7
Concealer,2017,234034237.2
Concealer,2004,757946694.9
Concealer,2001,676333931.5
Concealer,2016,528300618.9
Concealer,2000,762374069.9
Concealer,2010,731062625.8
Concealer,2020,591026356.5
Concealer,2008,515125802.9
Concealer,2015,728713669.4
Concealer,2010,248855558.9
Concealer,2013,579455591.9
Concealer,2024,38990796.51
Concealer,2017,364903848.8
Concealer,2009,58416575.24
Concealer,2017,176662151.2
Concealer,2016,998455213.7
Concealer,2003,348898155.1
Concealer,2023,785731001.3
Concealer,2014,898481421.8
Concealer,2014,148640564.3
Concealer,2007,630559597.8
Concealer,2016,500300091.8
Concealer,2010,376203653.2
Concealer,2024,22648069.65
Concealer,2022,624414602.5
Concealer,2010,505985562.4
Concealer,2003,300473113
Concealer,2024,737809082
Concealer,2013,118258863.6
Concealer,2021,888191984.1
Concealer,2003,280221280.7
Concealer,2021,783492942.4
Concealer,2018,515142017.2
Concealer,2024,464519166.5
Concealer,2002,837917176.9
Concealer,2018,345803127
Concealer,2007,977110625.7
Concealer,2014,198417131.8
Concealer,2019,908077006.5
Concealer,2001,127565113
Concealer,2009,253763072.2
Concealer,2007,663029275.5
Concealer,2012,122658950.1
Concealer,2023,242389056.7
Concealer,2003,726675143.6
Concealer,2022,633137278.9
