Category,Year,Units sold,Avg Price USD,Dollar Sales UD,YOY % Change
Makeup,2015,2706154,37.03,100208882.6,15.42
Makeup,2015,598323,55.35,33117178.05,46.84
Makeup,2008,3773496,52.09,196561406.6,-24.3
Makeup,2010,3646177,30.46,111062551.4,5.16
Makeup,2001,2083078,41.95,87385122.1,-45.84
Makeup,2000,3354116,51.98,174346949.7,25.86
Makeup,2011,3640553,50.87,185194931.1,-4.88
Makeup,2007,2831377,25.43,72001917.11,17.98
Makeup,2019,1500952,47.88,71865581.76,-8.85
Makeup,2004,1112221,47.58,52919475.18,38.38
Makeup,2019,683724,52.17,35669881.08,-15.79
Makeup,2009,1436101,14.6,20967074.6,-33.19
Makeup,2008,1018128,14.46,14722130.88,-28.03
Makeup,2021,2173052,17.74,38549942.48,-38.82
Makeup,2008,2659734,29.2,77664232.8,27.93
Makeup,2016,1961792,9.42,18480080.64,-7.69
Makeup,2007,3947624,38.32,151272951.7,-41.03
Makeup,2012,2029491,38.41,77952749.31,43.13
Makeup,2008,298662,36.45,10886229.9,-1.53
Makeup,2008,326455,18.3,5974126.5,-38.32
Makeup,2007,1551984,28.02,43486591.68,49.09
Makeup,2006,2833810,23.02,65234306.2,36.05
Makeup,2008,2377592,21.4,50880468.8,26.79
Makeup,2000,1684847,34.06,57385888.82,-31.84
Makeup,2011,1546189,34.24,52941511.36,20.87
Makeup,2017,925719,7.47,6915120.93,-1.43
Makeup,2000,3279419,43.98,144228847.6,3.59
Makeup,2002,2020124,8.09,16342803.16,47.69
Makeup,2025,1084604,48.22,52299604.88,-0.73
Makeup,2014,2358476,38.14,89952274.64,17.93
Makeup,2000,906876,54.1,49061991.6,-3.56
Makeup,2002,2175696,10,21756960,33.32
Makeup,2015,1086058,41.77,45364642.66,-38.02
Makeup,2011,1603663,17.18,27550930.34,16.71
Makeup,2002,1399943,43.78,61289504.54,10.26
Makeup,2021,645692,21.48,13869464.16,-9.1
Makeup,2019,133018,19.99,2659029.82,25.18
Makeup,2003,91684,47.73,4376077.32,25.79
Makeup,2014,2914719,53.76,156695293.4,45.04
Makeup,2006,2854596,53.71,153320351.2,11.49
Makeup,2000,450431,28.94,13035473.14,-20.12
Makeup,2025,2146367,35.75,76732620.25,-12.89
Makeup,2005,1032486,54.65,56425359.9,22.31
Makeup,2008,3384957,42.94,145350053.6,18.45
Makeup,2010,1569563,32.67,51277623.21,-5.7
Makeup,2008,2546616,48.82,124325793.1,-16.98
Makeup,2010,2071836,32.97,68308432.92,-9.51
Makeup,2009,1436831,14.73,21164520.63,5.3
Makeup,2008,1251381,52.49,65684988.69,-30.1
Makeup,2024,2875929,53.41,153603367.9,-39.14
Makeup,2021,3110640,11.31,35181338.4,38.04
Makeup,2001,3118300,16.84,52512172,26.5
Makeup,2009,3591379,13.19,47370289.01,-9.55
Makeup,2021,3319849,43.19,143384278.3,-19.26
Makeup,2001,3472377,48.84,169590892.7,-33.19
Makeup,2014,3121626,9.58,29905177.08,17.56
Makeup,2013,3072231,26.69,81997845.39,32.94
Makeup,2005,1587266,27.78,44094249.48,34.41
Makeup,2007,1021166,17.22,17584478.52,-19.75
Makeup,2013,3944940,22.05,86985927,-37.6
Makeup,2002,1933839,16.17,31270176.63,7.29
Makeup,2012,1606446,35.67,57301928.82,7.37
Makeup,2025,658292,42.44,27937912.48,-11.17
Makeup,2011,1028931,32,32925792,-23.11
Makeup,2019,1597938,58.22,93031950.36,13.6
Makeup,2001,3685980,36.18,133358756.4,-19.27
Makeup,2003,1744849,59.37,103591685.1,-6.16
Makeup,2022,3573376,54.41,194427388.2,-31
Makeup,2019,2911270,28.11,81835799.7,48.24
Makeup,2024,3505439,25.79,90405271.81,-24.89
Makeup,2016,2081556,21.54,44836716.24,19.86
Makeup,2023,2205640,34.58,76271031.2,43.07
Makeup,2012,3410829,36.44,124290608.8,-39.33
Makeup,2009,1357476,15.51,21054452.76,17.67
Makeup,2020,1828950,23.51,42998614.5,30.02
Makeup,2007,3339663,54.07,180575578.4,36.89
Makeup,2020,3575965,29.83,106671036,-16.26
Makeup,2010,2795583,49.71,138968430.9,-7.26
Makeup,2007,532827,52.33,27882836.91,42.05
Makeup,2001,2759085,36.2,99878877,-39.44
Makeup,2012,850007,38.45,32682769.15,-9.02
Makeup,2025,2078055,34.92,72565680.6,3.72
Makeup,2005,1608894,15.44,24841323.36,-35.92
Makeup,2023,3563628,39.31,140086216.7,22.37
Makeup,2003,2654406,21.57,57255537.42,17.76
Makeup,2009,1521069,7.92,12046866.48,-9.48
Makeup,2006,1946388,58.83,114506006,0.76
Makeup,2008,2220157,59.02,131033666.1,-30.07
Makeup,2007,3474845,18.9,65674570.5,3.73
Makeup,2024,3936248,32.02,126038661,1.42
Makeup,2013,3661085,58.84,215418241.4,32.99
Makeup,2014,3599153,7.9,28433308.7,-2.03
Makeup,2010,2237107,57.87,129461382.1,46.9
Makeup,2017,2785748,53.62,149371807.8,8
Makeup,2017,1188178,27.43,32591722.54,44.3
Makeup,2002,668412,35.52,23741994.24,-41.27
Makeup,2011,1318900,23.37,30822693,-4.55
Makeup,2017,2526699,40.37,102002838.6,17.38
Makeup,2019,3152346,35.67,112444181.8,-27.47
Makeup,2008,2842104,16.89,48003136.56,-9.36
Makeup,2005,422278,18.95,8002168.1,-31.08
