Category,Year,Units sold,Avg Price USD,Dollar Sales UD,YOY % Change
Pet Care,2024,3806350,48.87,186016324.5,-42.64
Pet Care,2012,4242826,60.48,256606116.5,33
Pet Care,2009,736013,67.21,49467433.73,44.14
Pet Care,2007,2479187,61.49,152445208.6,15.68
Pet Care,2025,4055638,18.58,75353754.04,-26.07
Pet Care,2001,1893174,36.56,69214441.44,-2.75
Pet Care,2024,1495011,40.17,60054591.87,49.65
Pet Care,2012,2801011,3.59,10055629.49,-33.83
Pet Care,2008,2094046,34.32,71867658.72,-38.44
Pet Care,2005,2621066,56.29,147539805.1,-19.22
Pet Care,2021,346355,33.6,11637528,-16.89
Pet Care,2004,5925162,8.3,49178844.6,19.64
Pet Care,2009,3025491,73.88,223523275.1,22.05
Pet Care,2013,2990488,7.77,23236091.76,-4.25
Pet Care,2012,5219297,33.32,173906976,-36.39
Pet Care,2012,1646555,67.77,111587032.4,-34.2
Pet Care,2004,3519530,5.97,21011594.1,-24.85
Pet Care,2007,4077577,63.38,258436830.3,-16.06
Pet Care,2010,1905248,61.07,116353495.4,44.37
Pet Care,2004,789143,9.01,7110178.43,7.37
Pet Care,2021,2305205,38.71,89234485.55,-49.56
Pet Care,2024,5056795,77.23,390536277.9,41.83
Pet Care,2013,87224,25.42,2217234.08,-22.84
Pet Care,2019,2652596,79.14,209926447.4,-44.54
Pet Care,2011,4378328,13.34,58406895.52,-13.08
Pet Care,2003,3041983,64.05,194839011.2,37.13
Pet Care,2013,6875206,42.45,291852494.7,-4.71
Pet Care,2012,6936908,54.65,379102022.2,11.78
Pet Care,2023,3531684,37.03,130778258.5,20.05
Pet Care,2021,2841191,41.74,118591312.3,9.66
Pet Care,2001,1069195,52.82,56474879.9,-44.71
Pet Care,2021,1251337,44.63,55847170.31,4.4
Pet Care,2025,320553,2.37,759710.61,-18.22
Pet Care,2008,1469275,9.79,14384202.25,-20.81
Pet Care,2025,3996670,15.96,63786853.2,43.22
Pet Care,2013,4303654,15.72,67653440.88,-41.33
Pet Care,2016,5177915,32.79,169783832.9,31.67
Pet Care,2025,3392797,21.35,72436215.95,17.13
Pet Care,2024,2784894,20.83,58009342.02,44.06
Pet Care,2014,415717,53.36,22182659.12,-47.6
Pet Care,2009,3844350,7.31,28102198.5,38.12
Pet Care,2014,1944474,14.83,28836549.42,21.17
Pet Care,2014,6226222,62.17,387084221.7,-42.95
Pet Care,2024,5722299,28.27,161769392.7,-30.19
Pet Care,2013,3550152,72.04,255752950.1,37.92
Pet Care,2014,4171508,75.08,313196820.6,-5.34
Pet Care,2019,2069373,34.48,71351981.04,13.05
