Category,Year,Avg_Price,Units_Sold,Dollar_Sales,YOY_Change,Guess_Unit_Sales
Skin Primer,2014,8.62,12660050.23,109129633,-6.96,1
Skin Primer,2006,9.44,93675322.65,884295045.8,-0.76,1
Skin Primer,2013,33.61,24219149.93,814005629.2,-5.17,1
Skin Primer,2000,12.82,9635581.24,123528151.5,7.49,1
Skin Primer,2009,15.55,34916361.12,542949415.4,7.72,1
Skin Primer,2002,21.52,25430130.74,547256413.6,-2.63,1
Skin Primer,2022,7.43,51689290.16,384051425.9,-5.48,1
Skin Primer,2021,35.74,27140569.18,970003942.6,-2.94,1
Skin Primer,2017,26.59,5520708.323,146795634.3,-0.46,1
Skin Primer,2021,22.44,23988878.73,538310438.8,1.8,1
Skin Primer,2018,22.63,24510124.25,554664111.8,11,1
Skin Primer,2017,34.82,6640229.523,231212792,6.39,1
Skin Primer,2018,15.21,14227299.07,216397218.9,3.61,1
Skin Primer,2011,24.82,12365653.29,306915514.6,-9.89,1
Skin Primer,2016,21.37,38583825.47,824536350.2,-7.54,1
Skin Primer,2017,16.64,45515862.43,757383950.9,10.15,1
Skin Primer,2024,16.75,31039266.42,519907712.5,6.04,1
Skin Primer,2022,7.55,27843299.34,210216910,-9.32,1
Skin Primer,2003,27.58,22013487.81,607131993.9,-3.23,1
Skin Primer,2002,15.97,37733011.86,602596199.4,5.39,1
Skin Primer,2003,25.04,10216341.01,255817178.9,-6.75,1
Skin Primer,2011,22.74,37358694.4,849536710.6,2.56,1
Skin Primer,2009,15.71,11465356.61,180120752.4,-5.5,1
Skin Primer,2011,16.53,54567067.71,901993629.2,8.7,1
Skin Primer,2017,26.11,22966720.92,599661083.1,11.82,1
Skin Primer,2006,5.4,161297823,871008244.1,12.34,1
Skin Primer,2014,6.24,129053727.2,805295257.6,-6.53,1
Skin Primer,2003,6.29,93381596.52,587370242.1,-0.39,1
Skin Primer,2005,25.99,16599227.83,431413931.2,2.87,1
Skin Primer,2001,29.01,22149529.21,642557842.4,4.88,1
Skin Primer,2022,8.03,35761188.08,287162340.3,14.1,1
Skin Primer,2006,26.18,1378280.195,36083375.5,8.24,1
Skin Primer,2015,32.95,6011283.627,198071795.5,3.79,1
Skin Primer,2011,26.39,19349403.21,510630750.6,-2.42,1
Skin Primer,2006,31.74,19310915.13,612928446.1,5.59,1
Skin Primer,2012,29.93,25092620.6,751022134.5,-7.94,1
Skin Primer,2001,31.21,9395526.565,293234384.1,-9.18,1
Skin Primer,2018,21.24,19157575.14,406906896,2.43,1
Skin Primer,2002,27.4,11414371.24,312753772,-8.51,1
Skin Primer,2012,33.15,20630027.01,683885395.5,11.03,1
Skin Primer,2007,21.94,17321285.16,380028996.5,-6.55,1
Skin Primer,2016,10.87,79974060.94,869318042.4,-7.42,1
Skin Primer,2014,38.22,19858766.74,759002064.7,1.22,1
Skin Primer,2015,7.11,32887961.28,233833404.7,-7.64,1
Skin Primer,2006,32.61,23587720.59,769195568.6,-4.22,1
Skin Primer,2005,35.57,23079079.97,820922874.4,12.04,1
Skin Primer,2006,22.2,33579113.5,745456319.6,-7.78,1
Skin Primer,2020,13.72,22902659.29,314224485.4,1.02,1
Skin Primer,2023,22.37,10583905.12,236761957.6,0.68,1
Skin Primer,2024,28.37,30508594.41,865528823.4,-3.07,1
Skin Primer,2003,13.31,8054083.013,107199844.9,-5.46,1
Skin Primer,2007,6.27,113207300.4,709809773.6,1.74,1
Skin Primer,2020,14.32,17673776.19,253088475,-0.69,1
Skin Primer,2016,33.9,1799543.23,61004515.51,-1.2,1
Skin Primer,2017,30.8,9627136.474,296515803.4,-9.01,1
Skin Primer,2015,34.27,28301036.49,969876520.6,7.61,1
Skin Primer,2010,18.62,7270293.668,135372868.1,-4.57,1
Skin Primer,2013,32.82,8443523.09,277116427.8,8.85,1
Skin Primer,2018,9.93,57349110.31,569476665.4,-4.19,1
Skin Primer,2014,13.17,55571287.69,731873858.9,1.29,1
Skin Primer,2006,9.58,52433359.1,502311580.2,-8.06,1
Skin Primer,2007,21.23,15764035.87,334670481.6,10.5,1
Skin Primer,2000,30.47,17566245.86,535243511.5,7.57,1
Skin Primer,2017,14.57,42946469.99,625730067.7,9.76,1
Skin Primer,2020,29.31,11423403.52,334819957.1,9.93,1
Skin Primer,2018,28.74,31566966.67,907234622.2,12.84,1
Skin Primer,2024,5.52,87533279.11,483183700.7,8.07,1
Skin Primer,2004,12.26,5154826.703,63198175.38,0.7,1
Skin Primer,2024,38.32,3325512.662,127433645.2,-3.01,1
Skin Primer,2004,38.32,8205104.087,314419588.6,6.11,1
Skin Primer,2010,16.39,54381490.52,891312629.7,14.46,1
Skin Primer,2013,8.66,24703064.83,213928541.4,13.15,1
Skin Primer,2012,19.15,36023943.78,689858523.3,-6,1
Skin Primer,2004,18.82,43578449.36,820146417,-4.68,1
Skin Primer,2011,11.09,20416584.54,226419922.6,-6.67,1
Skin Primer,2017,31.87,26885028.95,856825872.7,13.62,1
Skin Primer,2017,23.93,3378076.858,80837379.22,14.78,1
Skin Primer,2021,35.51,28002240.01,994359542.9,11.07,1
Skin Primer,2024,21.33,31873229.34,679855981.8,14.08,1
Skin Primer,2003,11.56,31727962.42,366775245.6,-7.41,1
Skin Primer,2017,23.59,23341578.58,550627838.6,-1.38,1
Skin Primer,2016,33.78,27383086.21,925000652.2,11.29,1
Skin Primer,2014,6.1,55059268.87,335861540.1,13.12,1
Skin Primer,2013,37.21,6261528.127,232991461.6,-3.4,1
Skin Primer,2001,9.61,81795887.63,786058480.1,1.41,1
Skin Primer,2011,29.37,23957953.25,703645087,-3.18,1
Skin Primer,2014,12.37,58479959.52,723397099.3,-5.4,1
Skin Primer,2003,32.52,1014018.317,32975875.68,-1.57,1
Skin Primer,2006,15.8,38088834.49,601803584.9,14.45,1
Skin Primer,2017,16.76,12257255.45,205431601.4,-2.73,1
Skin Primer,2019,12.11,30230358.14,366089637.1,4.78,1
Skin Primer,2011,14.91,64613705.14,963390343.7,-7.4,1
Skin Primer,2011,28.79,13047060.18,375624862.7,-7.81,1
