Category,Year,Units sold,Avg Price USD,Dollar Sales UD,YOY % Change
Facial Moisturizer,2000,814121,31.72,25823918.12,30.69
Facial Moisturizer,2000,2632115,11.06,29111191.9,-6.61
Facial Moisturizer,2000,338790,6.68,2263117.2,44.91
Facial Moisturizer,2000,1691249,14.13,23897348.37,-48.47
Facial Moisturizer,2000,4516271,34.98,157979159.6,15.87
Facial Moisturizer,2000,3593555,26.55,95408885.25,44.39
Facial Moisturizer,2000,3882065,5.93,23020645.45,8.58
Facial Moisturizer,2000,3387690,33.03,111895400.7,17.72
Facial Moisturizer,2000,4780530,27.52,131560185.6,-4.17
Facial Moisturizer,2000,3034626,33.72,102327588.7,12.59
Facial Moisturizer,2000,541072,38.64,20907022.08,40.54
Facial Moisturizer,2000,2105723,14.59,30722498.57,-28.54
Facial Moisturizer,2000,1364093,5.64,7693484.52,-40.56
Facial Moisturizer,2000,2698790,7.49,20213937.1,-18.1
Facial Moisturizer,2000,4883177,28.86,140928488.2,-15.94
Facial Moisturizer,2000,4039618,14.86,60028723.48,-38.18
Facial Moisturizer,2000,2972097,27.01,80276339.97,37.75
Facial Moisturizer,2000,3039475,19.63,59664894.25,46.76
Facial Moisturizer,2000,4761075,11.21,53371650.75,25.06
Facial Moisturizer,2000,883727,25.16,22234571.32,23.16
Facial Moisturizer,2000,3213683,18.02,57910567.66,27.64
Facial Moisturizer,2000,4172263,35.35,147489497.1,6.19
Facial Moisturizer,2000,1405531,20.01,28124675.31,25.09
Facial Moisturizer,2000,2784296,13.34,37142508.64,-12.23
Facial Moisturizer,2000,4879040,22.68,110656627.2,32.65
Facial Moisturizer,2000,3314908,36.34,120463756.7,-11.08
Facial Moisturizer,2000,4654299,38.55,179423226.5,34.71
Facial Moisturizer,2000,4148502,38.49,159675842,17.68
Facial Moisturizer,2000,475523,25.07,11921361.61,13.18
Facial Moisturizer,2000,1089458,26.09,28423959.22,5.37
Facial Moisturizer,2000,1859891,38.12,70899044.92,28.13
Facial Moisturizer,2000,837494,8.19,6859075.86,-0.56
Facial Moisturizer,2000,3993334,39.86,159174293.2,-44.41
Facial Moisturizer,2000,3088370,36.07,111397505.9,-14.91
Facial Moisturizer,2000,1826203,29.08,53105983.24,33.7
Facial Moisturizer,2000,2584629,7.94,20521954.26,20.1
Facial Moisturizer,2000,2186233,18.88,41276079.04,39.19
Facial Moisturizer,2000,567313,7.85,4453407.05,-41.52
Facial Moisturizer,2000,1387682,25.35,35177738.7,36.31
Facial Moisturizer,2000,1336643,13.28,17750619.04,40.77
Facial Moisturizer,2000,444540,31.37,13945219.8,-12.37
